Year,Activity,Energy,Value,Unit
2010,Agriculture,Aucune énergie,217.6,kg
2010,Agriculture,Gaz Naturel,281.1,kg
2010,Agriculture,Produits pétroliers,851.8,kg
2010,Biogénique,Aucune énergie,2658.2,kg
2010,Ferroviaire,Produits pétroliers,17590.6,kg
2010,Incendies de foret,Aucune énergie,925.4,kg
2010,Industrie,Aucune énergie,25804.8,kg
2010,Industrie,Autres énergies renouvelables (EnR),20740.6,kg
2010,Industrie,Bois-énergie (EnR),19478.9,kg
2010,Industrie,Gaz Naturel,184637.2,kg
2010,Industrie,Produits pétroliers,241011.6,kg
2010,Maritime - quai/rade/manoeuvre domestique,Produits pétroliers,851680,kg
2010,Maritime - quai/rade/manoeuvre international,Produits pétroliers,1708802.8,kg
2010,Production d'énergie,Bois-énergie (EnR),235.4,kg
2010,Production d'énergie,Gaz Naturel,896.6,kg
2010,Production d'énergie,Produits pétroliers,369.2,kg
2010,Résidentiel,Aucune énergie,2306.2,kg
2010,Résidentiel,Autres énergies renouvelables (EnR),9975,kg
2010,Résidentiel,Bois-énergie (EnR),37708.6,kg
2010,Résidentiel,Gaz Naturel,318278.2,kg
2010,Résidentiel,Produits pétroliers,76678.9,kg
2010,Tertiaire,Aucune énergie,865,kg
2010,Tertiaire,Bois-énergie (EnR),1307,kg
2010,Tertiaire,Gaz Naturel,211739.8,kg
2010,Tertiaire,Produits pétroliers,84321.9,kg
2010,Transport Routier,Gaz Naturel,4225.2,kg
2010,Transport Routier,Produits pétroliers,3346127.2,kg
2012,Agriculture,Aucune énergie,178.4,kg
2012,Agriculture,Gaz Naturel,238.8,kg
2012,Agriculture,Produits pétroliers,391.7,kg
2012,Biogénique,Aucune énergie,2814.3,kg
2012,Ferroviaire,Produits pétroliers,19138.7,kg
2012,Incendies de foret,Aucune énergie,558.9,kg
2012,Industrie,Aucune énergie,23784.9,kg
2012,Industrie,Autres énergies renouvelables (EnR),20155.9,kg
2012,Industrie,Bois-énergie (EnR),18325.2,kg
2012,Industrie,Gaz Naturel,176408.6,kg
2012,Industrie,Produits pétroliers,151406.6,kg
2012,Maritime - quai/rade/manoeuvre domestique,Produits pétroliers,975043.9,kg
2012,Maritime - quai/rade/manoeuvre international,Produits pétroliers,1321959.4,kg
2012,Résidentiel,Aucune énergie,2155.5,kg
2012,Résidentiel,Autres énergies renouvelables (EnR),10709.3,kg
2012,Résidentiel,Bois-énergie (EnR),28015.5,kg
2012,Résidentiel,Gaz Naturel,239449.4,kg
2012,Résidentiel,Produits pétroliers,63341.2,kg
2012,Tertiaire,Aucune énergie,1085.8,kg
2012,Tertiaire,Bois-énergie (EnR),1170.4,kg
2012,Tertiaire,Gaz Naturel,204957.8,kg
2012,Tertiaire,Produits pétroliers,68043.5,kg
2012,Transport Routier,Gaz Naturel,7719.2,kg
2012,Transport Routier,Produits pétroliers,2900981.3,kg
2013,Agriculture,Aucune énergie,212.7,kg
2013,Agriculture,Gaz Naturel,246.7,kg
2013,Agriculture,Produits pétroliers,340.4,kg
2013,Biogénique,Aucune énergie,2724.6,kg
2013,Ferroviaire,Produits pétroliers,19912.8,kg
2013,Incendies de foret,Aucune énergie,6144.9,kg
2013,Industrie,Aucune énergie,33448.6,kg
2013,Industrie,Autres énergies renouvelables (EnR),22661.8,kg
2013,Industrie,Bois-énergie (EnR),21814.1,kg
2013,Industrie,Gaz Naturel,136545.8,kg
2013,Industrie,Produits pétroliers,197499.7,kg
2013,Maritime - quai/rade/manoeuvre domestique,Produits pétroliers,808681,kg
2013,Maritime - quai/rade/manoeuvre international,Produits pétroliers,1498396.7,kg
2013,Résidentiel,Aucune énergie,2019.8,kg
2013,Résidentiel,Autres énergies renouvelables (EnR),11243.8,kg
2013,Résidentiel,Bois-énergie (EnR),29131,kg
2013,Résidentiel,Gaz Naturel,227926,kg
2013,Résidentiel,Produits pétroliers,62052.9,kg
2013,Tertiaire,Aucune énergie,1256.1,kg
2013,Tertiaire,Bois-énergie (EnR),1282.1,kg
2013,Tertiaire,Gaz Naturel,210330.8,kg
2013,Tertiaire,Produits pétroliers,65609.4,kg
2013,Transport Routier,Gaz Naturel,7972.5,kg
2013,Transport Routier,Produits pétroliers,2763739.6,kg
2014,Agriculture,Aucune énergie,200.9,kg
2014,Agriculture,Gaz Naturel,158.2,kg
2014,Agriculture,Produits pétroliers,275.2,kg
2014,Biogénique,Aucune énergie,1751,kg
2014,Ferroviaire,Produits pétroliers,24476,kg
2014,Incendies de foret,Aucune énergie,961,kg
2014,Industrie,Aucune énergie,22393.5,kg
2014,Industrie,Autres énergies renouvelables (EnR),23248.6,kg
2014,Industrie,Bois-énergie (EnR),32505.5,kg
2014,Industrie,Gaz Naturel,179421.6,kg
2014,Industrie,Produits pétroliers,209802.8,kg
2014,Maritime - quai/rade/manoeuvre domestique,Produits pétroliers,730038.5,kg
2014,Maritime - quai/rade/manoeuvre international,Produits pétroliers,1468818,kg
